imdb_id,title,topic,hit_score,umap_x,umap_y,cluster,keywords
tt29303395,The Billis,14,25.243656685801756,-5.1411133,8.711808,0,"friends, navigate, friendship, stan, school"
tt29894090,Crazy About You,2,6.0699485259670825,-6.052122,8.626953,5,"love, father, family, daughter, relationship"
tt31433814,Doctor Who,1,24.649673056359468,-0.56307113,10.223949,4,"earth, world, alien, love, human"
tt30221531,King & Conqueror,-1,16.784245415533267,-3.0672705,12.384194,-1,
tt27997713,Baby Bandito,10,10.156960938838823,-4.4824877,12.9030695,1,"drug, difficult, kovalev, soccer, gang"
tt28088031,Ransom Canyon,-1,25.158579760843708,-6.756834,10.618737,-1,
tt13332622,Before,4,20.895840249679345,-5.839417,11.634599,1,"medical, artem, surgeon, doctor, siri"
tt30494784,The Gardener,13,22.552801434733997,-5.6531415,12.726084,1,"convicted, madeline, case, murder, prison"
tt22475008,Watson,4,17.58419833928669,-5.390933,11.520475,1,"medical, artem, surgeon, doctor, siri"
tt23806252,Iron Reign,10,20.503199132815595,-4.424483,12.493459,1,"drug, difficult, kovalev, soccer, gang"
tt30317229,La Palma,-1,21.339973558064813,-2.0272,10.951886,-1,
tt33297589,Valle salvaje,2,14.26068891282214,-6.5281043,9.344467,5,"love, father, family, daughter, relationship"
tt15977292,Happy Face,13,21.52688347502364,-5.5760174,12.786041,1,"convicted, madeline, case, murder, prison"
tt28703559,Territory,-1,24.74793377686689,-6.6917973,10.709836,-1,
tt31019484,Missing You,-1,20.780196853352244,-6.4165363,12.554062,-1,
tt31038430,The Hunting Wives,-1,25.13951078398507,-6.134548,11.318189,-1,
