imdb_id,title,topic,hit_score,umap_x,umap_y,cluster,keywords
tt0908454,Gavin & Stacey,0,47.29244770719821,15.6966505,7.525438,3,"family, school, love, job, young"
tt0874936,Life,3,47.68267395886297,15.598579,11.5330715,1,"police, cases, detective, serial, dexter"
tt0452046,Criminal Minds,3,44.8520479683607,14.793885,11.868235,1,"police, cases, detective, serial, dexter"
tt0758745,Friday Night Lights,-1,53.82476154111604,15.683036,10.387751,-1,
tt0421030,Big Love,0,43.23701620353192,15.3716345,8.657196,3,"family, school, love, job, young"
tt0796264,Eureka,1,47.339542669975415,10.16641,7.878372,2,"time, mysterious, human, secret, discover"
tt0805669,Ugly Betty,0,43.91070847271756,16.786362,7.882025,3,"family, school, love, job, young"
tt0978061,Jumong,10,41.246355452789366,12.426206,9.348233,0,"century, süleyman, king, epic, war"
tt1024810,The Boarding School,7,40.73104547871534,13.624073,10.553779,1,"drug, crime, mob, based, look"
tt0914387,Damages,-1,41.32862418003622,15.5619,11.2638,-1,
tt0955322,Reaper,1,44.65703123989209,10.966879,7.8325834,2,"time, mysterious, human, secret, discover"
tt0925266,Pushing Daisies,11,51.312670651526304,10.608121,7.9563766,2,"vampire, reality, michael, supernatural, creatures"
tt0955346,Moonlight,-1,42.536496195363625,15.976421,11.618354,-1,
tt1227926,Dr. Horrible's Sing-Along Blog,1,52.57240687320138,10.51822,8.592384,2,"time, mysterious, human, secret, discover"
tt1059475,Flashpoint,-1,41.51819791646397,12.523949,10.536216,-1,
tt1196946,The Mentalist,3,54.89372071727976,15.72401,11.373631,1,"police, cases, detective, serial, dexter"
tt1349938,Being Human,11,43.17089661046632,11.183282,8.335,2,"vampire, reality, michael, supernatural, creatures"
tt1199099,Merlin,1,47.37757908038513,10.93899,8.59355,2,"time, mysterious, human, secret, discover"
tt1103987,Leverage,2,48.31731454272472,12.240437,11.222963,1,"love, mafia, spy, criminal, young"
tt1285482,Dead Set,-1,40.36094049056671,10.336944,8.440741,-1,
tt1235099,Lie to Me,3,50.05138600132744,15.7207575,11.253811,1,"police, cases, detective, serial, dexter"
tt0866442,Eastbound & Down,0,51.49634356822808,15.750549,6.84749,3,"family, school, love, job, young"
tt0844441,True Blood,11,49.59448185358324,11.092952,8.1608515,2,"vampire, reality, michael, supernatural, creatures"
tt0441059,Kaamelott,-1,43.003316402037896,11.366322,8.608583,-1,
tt1178522,Little Dorrit,-1,41.23254443815622,14.963813,9.945434,-1,
tt0423651,Fingersmith,4,41.86306060120973,15.863902,10.040181,1,"murder, secrets, young, town, accused"
tt0780362,Jane Eyre,-1,41.62568608426693,14.035382,8.935093,-1,
tt0835434,In Treatment,-1,41.80276404401012,14.8864155,8.734554,-1,
