imdb_id,title,topic,cluster,umap_x,umap_y,hit_score
tt3632744,La Malquerida,8,7,0.0441,0.0213,13.584099658722884
tt3513704,The Messengers,1,4,0.0632,0.0148,25.063679035745995
tt3443274,Every Witch Way,6,4,0.0354,0.0512,18.061119992120837
tt3435532,Gracepoint,-1,-1,0.0065,-0.0445,24.557879246050245
tt3815412,Our Girl,12,2,0.0687,-0.0886,25.690926533816523
tt3484180,Remember Me,4,1,0.0385,-0.04,24.387322743437
tt2171665,Violetta,-1,-1,0.0313,-0.0287,24.033635865228614
tt3782838,Sons of Liberty,9,3,0.0526,-0.0887,22.278545298429904
tt3560060,CSI: Cyber,-1,-1,0.1062,-0.068,17.900857299418995
tt3476576,The Slap,-1,-1,0.0899,0.0115,23.055394857949803
tt3886214,Hasta el fin del mundo,2,5,0.0456,-0.02,22.62772623368175
tt4302554,Ask God For Forgiveness... Not Me,2,5,0.0546,-0.0547,22.73116979726612
tt4343108,Blood,6,4,0.0386,-0.0412,23.36707128330997
tt3597606,Dig,-1,-1,0.0724,-0.0232,25.08789831846113
tt3681610,The Team,-1,-1,0.0619,-0.0161,23.97713597023625
tt2817246,Girlfriends' Guide to Divorce,14,0,0.0261,-0.0371,22.48622236882974
tt3645318,Tyler Perry's If Loving You Is Wrong,2,5,0.0423,-0.1038,13.611077330908008
tt4583316,The Girl Who Sees Smells,-1,-1,0.0797,-0.0372,25.682866531201988
tt2374744,The Next Step,14,0,0.0568,-0.0729,24.89020673424299
tt4132692,Between,-1,-1,0.0009,-0.0488,20.99435064863224
tt3378278,Medical Top Team,4,1,0.0134,-0.0675,8.808499138383361
tt4612952,Orange Marmalade,6,4,0.0655,-0.0343,20.6266552375854
tt3582458,Acquitted,-1,-1,0.005,-0.0513,22.953639581972958
tt4714786,Mask,5,0,0.0283,-0.0785,21.438155647148868
tt4428122,Quantico,-1,-1,0.0926,-0.0833,23.59849064159184
tt2707792,Bonnie & Clyde,13,1,0.0061,-0.072,21.975862972451868
tt4450826,Minority Report,0,1,0.0516,-0.0556,22.41941728811278
tt3904068,Senora Acero,-1,-1,0.0864,-0.0424,22.794956886615456
tt5037290,Celia,-1,-1,0.096,0.0396,16.426752266765682
tt4147780,South of Hell,-1,-1,0.0434,-0.0166,16.016225203676658
tt4551116,The Dandy,-1,-1,0.0932,-0.0506,10.54698408081826
tt3087752,Rosemary's Baby,4,1,-0.0376,-0.017,19.25303439306634
tt5002866,Prison School,9,3,0.0697,-0.0989,19.53231547355492
tt4568372,Residue,1,4,0.0727,-0.0238,19.460978361768326
tt6155146,Brothers,7,6,0.0809,-0.0415,7.169440291584039
tt5303516,Asla Vazgeçmem,3,0,-0.0083,-0.0197,19.147121364478792
tt2199826,Broken Promises,-1,-1,0.0381,-0.0569,21.293141466320616
tt3190448,Metástasis,10,1,0.0313,-0.0341,12.92743020105886
tt5152136,Yo Soy Franky,14,0,0.0577,-0.0282,14.496577678833075
tt4469514,Loves with Trap,2,5,0.016,-0.0488,6.7882032425225445
tt1976802,Hell Girl,-1,-1,0.0318,-0.0469,24.85094168150312
tt0451565,Los Plateados,-1,-1,0.0214,-0.0466,18.674265730511078
tt3526872,A Love To Remember,-1,-1,0.0806,0.0033,13.44779029159893
tt0499394,Lo Que La Gente Cuenta,-1,-1,0.028,-0.049,10.998373837730622
tt6001964,Deep Water,0,1,0.042,-0.0479,22.940749423115136
tt4946972,Training Day,-1,-1,0.0786,-0.0713,21.72496990535909
tt6281238,The Teacher,0,1,0.0527,-0.0961,24.8771753848894
tt5031234,Time After Time,1,4,0.0546,0.0008,24.80774611501691
tt5639976,The Mist,-1,-1,0.0234,-0.0394,19.949806504273067
tt5640060,Chicago Justice,0,1,0.099,-0.1155,16.98231966407188
tt5954206,District 31,0,1,0.0184,-0.084,14.476809368609295
tt4154858,Marvel's Inhumans,1,4,0.0637,-0.0326,22.82473833070148
tt5730624,El Chema,10,1,0.0897,-0.074,19.379859792505805
tt6212854,Voice,-1,-1,0.0273,-0.0507,24.406919772767395
tt6422226,The Liar and His Lover,5,0,0.0771,-0.0568,25.71388798521927
tt5736758,The Frozen Dead,-1,-1,0.008,0.0023,21.480378971069275
tt6968336,My Runway,5,0,-0.005,-0.0755,10.026075168957592
tt5462886,You Are Wanted,-1,-1,0.0434,-0.0341,24.16974034114133
tt6800294,Arctic Circle,0,1,0.0257,-0.0243,24.664922271726518
tt6742348,In the Name of People,-1,-1,0.0862,-0.1247,22.74379019172512
tt6410708,The Replacement,-1,-1,-0.0187,-0.033,19.7699490968802
tt5936448,Riviera,3,0,0.0473,-0.0412,21.933086390643776
tt5103758,Troy: Fall of a City,12,2,0.1039,-0.0595,17.07905053010546
tt6125832,My Only Love Song,5,0,0.0399,-0.0674,25.57042690941556
tt6467294,Somewhere Between,-1,-1,0.0072,-0.022,24.079227134658552
tt7108184,Tokyo Vampire Hotel,6,4,0.0299,0.0104,23.194697140230637
tt6734482,The Loch,0,1,0.0651,-0.0491,24.105962070139512
tt6175760,My Sassy Girl,5,0,0.0257,-0.0694,24.381949754084317
tt6503244,Valor,-1,-1,0.0929,-0.0897,20.808030003275377
tt5650650,Jamestown,-1,-1,0.0068,0.0025,25.543711694523623
tt6522758,Wisdom of the Crowd,0,1,0.0586,-0.0612,21.393754933744365
tt6568694,Criminal Minds,0,1,0.0488,-0.0996,15.041306077957444
